initiator_id,resource_id,messages,hops,success,nodes_reached
22,22,48,2,True,21
38,16,49,2,True,38
2,46,49,2,True,41
29,34,49,2,True,30
7,24,46,2,True,13
5,35,49,2,True,40
18,40,49,2,True,41
39,23,49,2,True,40
36,12,49,2,True,44
45,4,49,2,True,21
2,42,17,1,True,3
14,49,49,2,True,35
18,5,47,2,True,16
14,6,0,0,True,1
24,17,49,2,True,42
29,40,49,2,True,41
23,10,49,2,True,29
23,22,49,2,True,34
13,42,49,2,True,38
17,44,49,2,True,30
43,41,49,2,True,39
4,38,49,2,True,21
40,10,49,3,True,50
34,46,49,2,True,27
15,10,49,2,True,42
29,24,49,2,True,43
17,40,43,1,True,9
44,35,49,2,True,40
14,43,48,2,True,20
20,49,49,2,True,38
49,3,49,2,True,14
14,2,49,2,True,42
20,25,49,2,True,44
17,4,0,0,True,1
13,36,49,2,True,27
45,20,38,1,True,8
13,41,48,2,True,16
31,25,32,1,True,6
41,29,10,1,True,2
9,16,22,1,True,4
8,15,49,2,True,25
47,35,10,1,True,2
34,16,49,2,True,46
47,37,49,2,True,23
27,37,48,2,True,15
25,23,49,2,True,36
14,8,49,2,True,32
32,31,49,2,True,42
5,48,49,2,True,18
3,7,48,2,True,14
9,40,46,2,True,17
10,43,49,2,True,30
27,38,49,2,True,25
4,24,49,2,True,43
24,38,49,2,True,26
29,33,49,2,True,28
16,35,10,1,True,2
0,43,49,2,True,42
46,7,49,2,True,22
43,34,49,2,True,39
48,17,49,2,True,43
49,41,49,2,True,16
21,7,49,2,True,45
18,27,47,2,True,15
10,29,49,2,True,25
0,46,49,2,True,41
46,16,10,1,True,2
32,48,41,1,True,9
11,32,49,2,True,26
6,40,49,2,True,39
19,40,46,2,True,15
32,38,49,2,True,22
12,9,10,1,True,2
23,48,48,2,True,18
10,34,49,2,True,38
49,33,49,2,True,26
0,38,49,2,True,39
20,31,49,3,True,45
1,7,49,2,True,34
23,19,49,2,True,24
15,3,41,1,True,10
15,36,49,2,True,39
5,5,49,2,True,42
46,31,49,2,True,25
4,48,48,2,True,16
34,49,49,2,True,27
8,8,49,2,True,38
42,30,49,2,True,32
35,10,49,2,True,25
16,33,49,3,True,50
38,27,49,2,True,35
13,34,48,2,True,16
48,46,49,2,True,23
44,12,45,2,True,12
45,19,49,2,True,20
25,42,49,2,True,23
41,23,49,2,True,27
28,33,49,2,True,28
28,7,25,1,True,4
15,14,48,2,True,13
