initiator_id,resource_id,messages,hops,success,nodes_reached
4147,872,4969,3,True,1217
4576,592,4159,3,True,446
4121,2410,4994,3,True,1576
2785,958,4999,3,True,2471
4204,2111,4999,4,True,4188
4406,4709,4998,3,True,1882
2049,3627,4992,3,True,1425
3089,4613,4999,3,True,3508
3961,1992,4999,3,True,3113
2782,3758,4999,4,True,4166
3774,4807,4999,3,True,2360
224,3948,4999,3,True,3807
952,2112,4999,3,True,3040
553,3134,4999,3,True,3624
1805,1883,4977,3,True,1287
2586,3378,4998,3,True,1713
2892,4231,4949,3,True,1117
4388,79,4999,3,True,2635
2157,2033,4999,3,True,2580
2353,761,4997,3,True,1676
3268,2801,4113,3,True,438
622,4542,4981,3,True,1355
1462,3903,4997,3,True,1663
2571,2896,4898,3,True,927
1790,4699,4999,4,True,4293
2204,1497,4993,3,True,1589
1557,4087,4999,4,True,4198
1635,1923,4999,4,True,3961
1982,2174,4999,3,True,3508
1693,1877,4999,3,True,2768
1661,2045,3328,2,True,279
2916,1277,4799,3,True,781
873,982,4944,3,True,1042
642,4035,4999,4,True,4905
54,4435,4999,3,True,3882
346,3950,4992,3,True,1378
3040,2583,4999,3,True,3127
4033,4706,4852,3,True,825
2250,4020,4977,3,True,1194
1498,4187,4999,3,True,3685
2295,3259,4966,3,True,1177
1819,4724,4999,4,True,4129
1050,443,4990,3,True,1377
4306,3466,4999,4,True,4562
3918,4429,4999,3,True,1889
266,4116,4992,3,True,1429
2844,3225,4821,3,True,821
1431,3745,4924,3,True,954
986,4245,4999,3,True,3523
3768,2585,4953,3,True,1075
68,96,4999,3,True,3644
1726,3108,4933,3,True,970
4759,825,4999,4,True,4134
2665,2962,4999,3,True,3072
2127,1533,4999,3,True,1934
4493,2153,4999,4,True,4701
1942,2206,4999,4,True,4281
3861,2810,4999,3,True,3884
2997,1506,4999,3,True,2464
4085,3472,4999,3,True,3753
1724,3433,4999,3,True,2594
3049,2990,4929,3,True,987
3281,2290,4999,3,True,2115
3692,1473,4866,3,True,828
4680,1074,4999,3,True,2586
4717,1872,4999,3,True,1999
818,2211,4921,3,True,1024
1931,4549,4999,3,True,3500
3540,3120,4999,4,True,4704
1606,1194,4999,3,True,3035
1225,3874,4999,3,True,2845
79,1446,4999,4,True,4154
3453,4092,4999,4,True,4993
1101,4235,4999,3,True,2986
4374,2586,4997,3,True,1706
3986,2457,2889,2,True,222
2055,4605,4873,3,True,882
4651,390,4999,4,True,4411
3263,810,4999,4,True,4023
1338,491,4998,3,True,1865
1765,2083,4999,3,True,2570
3903,788,4999,3,True,2905
3685,2741,4846,3,True,843
2128,2957,4999,3,True,1943
2951,4590,4999,3,True,2602
4566,2111,4999,4,True,4573
2819,162,4014,3,True,410
3373,993,4993,3,True,1523
2876,4960,2989,2,True,232
1629,4725,4999,3,True,3163
4717,4410,4999,3,True,3187
1429,2331,4999,4,True,4720
2909,2663,4996,3,True,1713
4181,3993,4999,3,True,3265
3661,642,4999,4,True,4820
3121,2347,4999,4,True,4056
3799,1186,4999,4,True,4280
1372,2763,4820,3,True,813
3455,4682,4999,3,True,2763
3315,584,4999,3,True,3626
