initiator_id,resource_id,messages,hops,success,nodes_reached
59,48,99,2,True,70
34,81,99,2,True,72
88,71,99,2,True,48
28,87,98,1,True,19
41,98,99,2,True,70
99,7,99,2,True,38
29,4,99,2,True,71
40,51,99,2,True,42
34,8,98,1,True,18
27,72,91,1,True,10
91,40,99,2,True,85
27,83,67,1,True,6
63,50,99,2,True,43
82,58,99,2,True,66
18,33,99,2,True,81
17,31,99,2,True,67
95,71,99,2,True,83
68,33,99,2,True,78
95,74,79,1,True,8
54,74,99,2,True,63
51,46,99,2,True,24
28,17,99,2,True,75
65,63,99,2,True,36
11,96,97,1,True,14
6,14,97,1,True,18
19,80,99,3,True,99
20,87,98,1,True,19
54,76,99,2,True,43
8,49,47,1,True,4
48,76,99,2,True,45
59,67,58,1,True,5
32,70,99,2,True,78
1,87,99,2,True,38
92,14,96,1,True,17
87,68,99,2,True,33
96,34,99,2,True,87
98,82,99,2,True,85
43,14,94,1,True,15
37,55,99,2,True,69
20,58,69,1,True,6
0,92,48,1,True,4
92,33,96,1,True,17
64,97,99,2,True,95
22,64,96,1,True,17
13,80,99,2,True,54
38,81,99,2,True,34
64,77,54,1,True,5
25,19,99,2,True,29
47,97,99,2,True,93
20,69,99,2,True,95
99,67,99,2,True,52
0,76,99,2,True,37
41,62,75,1,True,7
2,14,99,2,True,93
46,39,99,2,True,43
30,7,99,2,True,89
30,72,99,2,True,65
10,10,98,1,True,19
93,62,99,2,True,48
8,97,99,2,True,68
68,98,64,1,True,6
16,16,99,2,True,72
84,60,99,2,True,38
70,21,99,2,True,84
33,67,99,2,True,58
77,54,34,1,True,3
27,69,99,2,True,49
96,93,99,2,True,56
88,25,99,2,True,63
91,39,99,2,True,46
51,85,87,1,True,10
83,47,99,2,True,82
56,66,99,2,True,34
57,15,99,2,True,88
31,28,99,2,True,73
8,43,99,2,True,60
2,75,20,1,True,2
70,29,99,2,True,59
75,28,99,2,True,47
0,9,99,2,True,62
90,80,99,2,True,48
7,29,99,2,True,47
8,4,99,2,True,61
42,9,99,2,True,93
65,30,99,2,True,53
35,85,99,2,True,29
62,27,97,1,True,17
69,16,20,1,True,2
92,73,99,2,True,68
73,60,60,1,True,5
31,60,99,2,True,42
52,24,99,2,True,55
12,12,99,2,True,46
84,55,99,2,True,65
45,54,99,2,True,51
52,59,99,2,True,79
93,6,99,2,True,76
86,83,99,2,True,75
82,12,99,2,True,31
7,51,99,2,True,54
