initiator_id,resource_id,messages,hops,success,nodes_reached
59,48,99,3,True,69
34,81,87,2,True,22
88,71,99,3,True,87
28,87,99,3,True,85
41,98,98,2,True,38
99,7,99,2,True,72
29,4,95,2,True,28
40,51,98,2,True,45
34,8,82,2,True,18
27,72,99,2,True,66
91,40,76,2,True,14
27,83,84,2,True,18
63,50,34,1,True,5
82,58,99,3,True,99
18,33,99,2,True,58
17,31,93,2,True,27
95,71,99,2,True,74
68,33,40,1,True,6
95,74,99,2,True,68
54,74,99,2,True,60
51,46,99,2,True,68
28,17,98,2,True,46
65,63,34,1,True,5
11,96,99,2,True,72
6,14,99,3,True,84
19,80,94,2,True,29
20,87,98,2,True,49
54,76,99,2,True,37
8,49,99,2,True,64
48,76,71,1,True,11
59,67,98,2,True,50
32,70,88,2,True,21
1,87,99,2,True,41
92,14,42,1,True,7
87,68,99,3,True,92
96,34,99,2,True,49
98,82,98,2,True,39
43,14,99,3,True,94
37,55,66,1,True,11
20,58,95,2,True,29
0,92,99,2,True,66
92,33,42,1,True,7
64,97,99,3,True,76
22,64,99,3,True,95
13,80,55,1,True,9
38,81,99,3,True,72
64,77,99,2,True,62
25,19,97,2,True,46
47,97,57,1,True,10
20,69,99,3,True,71
99,67,98,2,True,35
0,76,98,2,True,50
41,62,18,1,True,3
2,14,34,1,True,5
46,39,90,2,True,24
30,7,99,3,True,100
30,72,99,3,True,85
10,10,98,2,True,32
93,62,19,1,True,3
8,97,99,2,True,39
68,98,65,1,True,11
16,16,99,2,True,49
84,60,99,2,True,55
70,21,99,3,True,97
33,67,95,2,True,27
77,54,95,2,True,30
27,69,99,3,True,72
96,93,91,2,True,23
88,25,97,2,True,37
91,39,99,3,True,93
51,85,34,1,True,5
83,47,99,3,True,96
56,66,96,2,True,33
57,15,49,1,True,8
31,28,99,3,True,90
8,43,99,3,True,71
2,75,93,2,True,23
70,29,99,3,True,85
75,28,99,3,True,71
0,9,99,3,True,88
90,80,99,3,True,82
7,29,92,2,True,24
8,4,99,2,True,46
42,9,99,2,True,60
65,30,99,3,True,71
35,85,72,2,True,14
62,27,99,3,True,90
69,16,88,2,True,23
92,73,99,3,True,66
73,60,32,1,True,5
31,60,97,2,True,37
52,24,99,3,True,99
12,12,99,3,True,71
84,55,97,2,True,35
45,54,98,2,True,36
52,59,25,1,True,4
93,6,99,3,True,90
86,83,99,2,True,47
82,12,93,2,True,23
7,51,99,2,True,55
