initiator_id,resource_id,messages,hops,success,nodes_reached
11743,3450,13041,4,True,3023
13894,12003,14999,5,True,11395
13277,3687,14993,5,True,8712
11475,12054,14953,5,True,7447
861,14179,14999,5,True,11490
12714,2933,14999,5,True,10990
14037,7987,14999,6,True,14944
11917,6419,14906,5,True,6515
4900,13353,14999,5,True,11537
10801,14948,13321,4,True,3208
13902,2608,14999,5,True,12388
353,8977,14480,4,True,4664
6427,5528,1449,3,True,169
6921,11106,14998,5,True,9430
7756,5706,11483,4,True,2264
12414,6412,14999,5,True,10135
6407,1176,14859,4,True,6075
8648,11907,14999,5,True,11112
4637,4626,14996,5,True,9351
11409,3196,10020,4,True,1744
11486,14028,14999,5,True,13065
8978,6451,14999,5,True,10770
1594,2144,14998,5,True,11543
5298,12325,14996,5,True,9906
12964,9509,10643,4,True,1917
14186,13190,14223,4,True,4266
886,13923,14998,5,True,9895
11625,4981,2117,3,True,252
7496,10725,11669,4,True,2314
2681,9456,14926,5,True,6770
2253,7239,14982,5,True,7887
11402,7904,14801,4,True,5806
4769,14700,14999,5,True,11262
2372,3436,14400,4,True,4578
3573,13178,14832,4,True,5917
12261,3205,14993,5,True,8656
12047,10669,14999,5,True,13811
149,5934,14998,5,True,9894
11894,14027,14999,5,True,13773
9431,1670,14951,5,True,7216
11113,12869,14999,6,True,14982
14064,2418,13909,4,True,3769
6169,6997,14496,4,True,4743
11132,13789,12682,4,True,2788
2756,922,14999,5,True,11310
1573,5825,14185,4,True,4144
7763,2943,8716,4,True,1381
859,1922,11247,4,True,2136
8444,10651,14999,6,True,14953
5545,9722,14998,5,True,9735
7107,2434,14999,5,True,9817
10272,11838,14999,5,True,14236
6619,4014,12120,4,True,2505
556,1946,14999,5,True,13669
3946,6498,14999,5,True,13920
8005,4959,6350,4,True,893
11271,9767,14986,5,True,8013
2826,10695,14999,5,True,14157
12209,6150,14999,5,True,14672
12711,11334,14915,5,True,6506
13030,10989,14994,5,True,8951
10789,1468,14723,4,True,5433
12742,7596,14999,5,True,14374
14170,13405,14999,5,True,10524
10654,6260,13256,4,True,3199
4509,10360,14999,5,True,11067
10701,7292,12359,4,True,2627
6018,190,14998,5,True,10327
1966,1910,10604,4,True,1946
1353,1999,12102,4,True,2505
8015,10508,14998,5,True,10833
10957,14884,14991,5,True,8574
8351,3685,14997,5,True,9049
377,9614,14999,5,True,10982
9387,9381,14999,5,True,14874
7856,4484,14888,4,True,6324
11366,12211,14999,5,True,11724
1549,13014,14942,5,True,6882
9713,2967,14999,5,True,11826
6290,7932,14998,5,True,9291
10561,11513,13049,4,True,3043
7105,4888,14999,5,True,11583
9362,2051,14773,4,True,5573
1629,5328,14999,5,True,11141
1040,11694,14745,4,True,5548
14891,14126,14999,5,True,13803
13028,8806,14999,5,True,11864
3029,6640,14997,5,True,9628
13318,11480,8829,4,True,1405
323,6451,12295,4,True,2614
9110,13393,14986,5,True,8079
8788,12836,14998,5,True,9891
13307,8684,13178,4,True,3098
8004,1047,14999,5,True,14704
8501,13715,14999,5,True,14115
9580,8830,14998,5,True,9801
11694,13415,14996,5,True,9536
12944,10677,14964,5,True,7089
2033,12345,14999,5,True,10509
12336,3399,8606,4,True,1367
