initiator_id,resource_id,messages,hops,success,nodes_reached
109,259,259,3,True,81
135,67,474,4,True,270
477,178,499,6,True,495
451,35,493,5,True,325
450,125,499,5,True,411
189,145,464,4,True,229
80,224,388,4,True,153
426,278,493,5,True,340
360,154,451,4,True,220
313,413,381,4,True,142
334,270,384,4,True,157
4,341,113,3,True,31
418,283,66,2,True,18
153,477,384,4,True,158
339,53,492,5,True,343
480,449,390,4,True,154
68,135,346,4,True,119
59,455,447,4,True,223
54,380,481,4,True,275
283,79,491,5,True,317
139,144,215,3,True,65
309,107,495,5,True,369
367,175,204,3,True,66
104,351,494,5,True,338
324,436,288,3,True,94
135,258,499,5,True,417
250,128,151,3,True,44
463,464,33,2,True,9
433,26,472,4,True,265
47,324,444,4,True,214
216,424,342,4,True,124
141,22,499,5,True,477
1,170,499,6,True,498
394,66,59,2,True,16
326,134,358,4,True,135
82,379,475,4,True,255
226,282,191,3,True,56
361,218,499,5,True,393
287,4,162,3,True,47
57,38,407,4,True,170
483,452,456,4,True,230
353,462,426,4,True,194
76,279,498,5,True,390
18,427,495,5,True,346
189,298,282,3,True,95
282,75,497,5,True,364
220,65,332,4,True,122
21,157,499,6,True,479
186,460,215,3,True,66
477,407,493,4,True,305
497,440,140,3,True,39
20,460,340,4,True,121
183,107,492,5,True,342
349,127,499,6,True,483
341,52,489,4,True,292
181,399,449,4,True,217
286,452,486,5,True,307
447,208,499,5,True,449
498,317,498,5,True,393
383,79,116,3,True,36
473,476,496,5,True,376
121,442,424,4,True,185
83,499,467,4,True,246
409,415,447,4,True,212
90,451,430,4,True,185
211,12,475,5,True,298
91,377,499,6,True,484
473,170,390,4,True,173
400,476,476,4,True,269
210,410,399,4,True,165
342,442,441,4,True,207
376,415,477,4,True,273
127,136,479,4,True,264
81,403,499,5,True,463
359,55,499,5,True,437
195,446,499,5,True,394
19,439,477,5,True,283
240,113,499,5,True,439
102,418,496,5,True,345
470,235,466,4,True,243
179,156,498,5,True,445
420,407,495,5,True,311
446,116,342,4,True,126
114,12,499,5,True,461
337,98,491,5,True,325
204,168,207,3,True,67
142,442,487,5,True,290
35,495,421,4,True,180
395,142,464,4,True,240
179,328,499,5,True,448
260,204,481,4,True,277
347,431,142,3,True,42
274,169,499,5,True,471
480,14,491,5,True,319
59,449,499,5,True,480
496,133,482,4,True,257
91,297,497,5,True,382
492,135,486,5,True,288
19,55,499,5,True,416
305,222,495,5,True,352
