initiator_id,resource_id,messages,hops,success,nodes_reached
345,779,999,3,True,861
900,388,998,3,True,380
284,770,737,2,True,68
974,851,999,3,True,421
431,258,999,3,True,840
854,83,999,3,True,646
481,19,999,3,True,369
767,552,999,3,True,767
53,974,957,2,True,156
358,229,977,2,True,181
665,70,999,3,True,945
799,980,987,2,True,202
667,41,999,3,True,953
772,31,574,2,True,45
972,253,999,3,True,613
204,859,999,3,True,964
20,636,999,3,True,912
156,244,979,2,True,191
129,484,999,3,True,600
685,117,897,2,True,110
577,970,999,3,True,696
223,476,999,2,True,342
716,262,997,2,True,287
785,377,999,3,True,501
171,620,999,3,True,781
621,986,999,3,True,959
765,735,794,2,True,77
117,796,999,3,True,582
838,167,999,3,True,653
987,318,999,2,True,316
110,592,999,3,True,976
26,951,997,2,True,272
319,589,999,3,True,443
693,929,999,3,True,580
981,384,999,3,True,361
406,964,999,3,True,347
732,203,999,3,True,589
77,606,999,3,True,415
707,850,751,2,True,69
642,248,935,2,True,145
104,713,999,3,True,398
791,308,999,3,True,639
870,700,999,3,True,781
614,824,999,3,True,966
123,815,983,2,True,204
579,801,868,2,True,106
42,355,999,3,True,662
545,438,999,3,True,803
677,379,999,3,True,357
70,518,999,3,True,656
663,349,999,3,True,413
12,869,880,2,True,100
430,842,999,3,True,858
501,108,999,3,True,938
443,983,145,1,True,9
370,650,996,2,True,245
912,848,473,2,True,33
470,724,999,3,True,796
156,445,996,2,True,277
180,751,999,3,True,932
534,988,999,3,True,633
666,276,876,2,True,98
630,827,999,3,True,598
941,551,999,3,True,656
793,495,999,3,True,926
476,446,906,2,True,125
845,748,999,3,True,830
606,274,976,2,True,185
330,872,998,2,True,292
251,850,996,2,True,309
957,88,999,3,True,936
285,902,998,2,True,312
461,249,999,3,True,439
768,475,980,2,True,191
583,624,999,3,True,673
684,388,999,3,True,893
344,29,638,2,True,52
506,871,74,1,True,5
332,186,999,3,True,793
499,217,999,3,True,960
363,816,999,3,True,636
264,348,704,2,True,63
286,901,999,3,True,703
610,718,999,3,True,651
901,282,999,3,True,990
569,10,999,3,True,456
529,970,999,3,True,747
195,87,999,3,True,796
247,737,131,1,True,8
416,500,999,3,True,884
568,776,999,3,True,828
246,707,999,3,True,665
487,661,999,3,True,677
728,502,993,2,True,229
458,811,999,3,True,691
17,95,999,3,True,448
301,226,975,2,True,168
414,708,999,3,True,742
249,313,997,2,True,267
679,595,999,3,True,965
