initiator_id,resource_id,messages,hops,success,nodes_reached
345,779,866,5,True,406
900,388,793,4,True,312
284,770,924,5,True,498
974,851,877,5,True,394
431,258,498,4,True,160
854,83,560,4,True,180
481,19,741,4,True,280
767,552,854,5,True,402
53,974,639,4,True,226
358,229,402,4,True,119
665,70,992,5,True,769
799,980,999,5,True,853
667,41,957,5,True,561
772,31,989,5,True,674
972,253,999,6,True,957
204,859,997,6,True,799
20,636,999,6,True,889
156,244,778,4,True,329
129,484,999,6,True,943
685,117,856,5,True,394
577,970,773,4,True,297
223,476,849,5,True,386
716,262,968,5,True,570
785,377,997,5,True,794
171,620,938,5,True,517
621,986,978,5,True,606
765,735,430,4,True,128
117,796,541,4,True,175
838,167,922,5,True,461
987,318,999,6,True,884
110,592,685,4,True,241
26,951,991,5,True,706
319,589,983,5,True,658
693,929,870,5,True,395
981,384,669,4,True,244
406,964,831,4,True,350
732,203,921,5,True,457
77,606,767,4,True,309
707,850,229,3,True,65
642,248,983,5,True,651
104,713,954,5,True,524
791,308,966,5,True,585
870,700,968,5,True,607
614,824,885,5,True,422
123,815,996,5,True,759
579,801,999,6,True,862
42,355,997,6,True,869
545,438,881,5,True,417
677,379,998,5,True,786
70,518,802,5,True,345
663,349,810,5,True,350
12,869,826,5,True,363
430,842,916,5,True,465
501,108,999,6,True,973
443,983,788,5,True,328
370,650,999,6,True,913
912,848,990,5,True,693
470,724,165,3,True,44
156,445,809,5,True,354
180,751,62,2,True,17
534,988,979,5,True,631
666,276,789,4,True,311
630,827,951,5,True,514
941,551,711,4,True,273
793,495,994,5,True,734
476,446,888,5,True,408
845,748,982,5,True,640
606,274,998,6,True,822
330,872,983,5,True,655
251,850,48,2,True,13
957,88,820,4,True,352
285,902,999,6,True,981
461,249,999,6,True,952
768,475,588,4,True,201
583,624,995,5,True,778
684,388,568,4,True,198
344,29,906,5,True,434
506,871,751,4,True,277
332,186,530,4,True,166
499,217,998,5,True,793
363,816,993,5,True,728
264,348,851,5,True,396
286,901,999,6,True,881
610,718,997,5,True,781
901,282,992,5,True,691
569,10,999,6,True,907
529,970,950,5,True,531
195,87,641,4,True,222
247,737,667,4,True,238
416,500,992,5,True,718
568,776,209,3,True,58
246,707,851,5,True,374
487,661,355,4,True,104
728,502,982,5,True,604
458,811,74,2,True,20
17,95,920,5,True,462
301,226,993,5,True,739
414,708,999,6,True,931
249,313,750,4,True,279
679,595,152,3,True,41
