initiator_id,resource_id,messages,hops,success,nodes_reached
22,22,49,3,True,38
38,16,49,3,True,36
2,46,49,3,True,40
29,34,48,2,True,23
7,24,49,3,True,33
5,35,49,3,True,40
18,40,49,3,True,37
39,23,49,3,True,36
36,12,49,3,True,37
45,4,47,3,True,23
2,42,48,3,True,35
14,49,49,3,True,42
18,5,46,3,True,26
14,6,0,0,True,1
24,17,5,1,True,2
29,40,49,3,True,49
23,10,48,3,True,28
23,22,48,3,True,30
13,42,46,2,True,22
17,44,38,2,True,16
43,41,20,1,True,6
4,38,43,2,True,20
40,10,49,4,True,47
34,46,49,3,True,47
15,10,13,1,True,4
29,24,49,3,True,40
17,40,48,3,True,28
44,35,27,2,True,10
14,43,42,2,True,20
20,49,49,3,True,44
49,3,38,2,True,14
14,2,49,4,True,50
20,25,13,1,True,4
17,4,0,0,True,1
13,36,26,2,True,8
45,20,49,3,True,42
13,41,47,3,True,30
31,25,48,3,True,27
41,29,49,3,True,38
9,16,49,3,True,37
8,15,44,2,True,21
47,35,5,1,True,2
34,16,49,4,True,50
47,37,49,3,True,39
27,37,48,3,True,30
25,23,42,3,True,23
14,8,26,2,True,9
32,31,13,1,True,4
5,48,49,3,True,48
3,7,9,1,True,3
9,40,49,4,True,46
10,43,49,3,True,37
27,38,47,3,True,24
4,24,49,4,True,47
24,38,46,3,True,25
29,33,34,2,True,12
16,35,22,2,True,7
0,43,44,2,True,21
46,7,49,4,True,48
43,34,20,1,True,6
48,17,47,3,True,27
49,41,15,1,True,5
21,7,49,3,True,39
18,27,49,3,True,43
10,29,38,2,True,14
0,46,49,3,True,42
46,16,5,1,True,2
32,48,49,4,True,50
11,32,27,2,True,10
6,40,28,2,True,10
19,40,49,4,True,49
32,38,49,3,True,43
12,9,49,3,True,40
23,48,17,1,True,6
10,34,49,3,True,48
49,33,49,3,True,32
0,38,38,2,True,14
20,31,35,2,True,12
1,7,25,2,True,10
23,19,49,3,True,44
15,3,49,3,True,26
15,36,43,2,True,20
5,5,14,1,True,5
46,31,45,3,True,25
4,48,37,2,True,13
34,49,49,3,True,47
8,8,46,3,True,22
42,30,49,3,True,37
35,10,38,2,True,16
16,33,49,3,True,35
38,27,49,3,True,46
13,34,47,3,True,30
48,46,5,1,True,2
44,12,29,2,True,11
45,19,49,3,True,37
25,42,23,2,True,8
41,23,5,1,True,2
28,33,39,2,True,14
28,7,15,1,True,5
15,14,33,2,True,12
