initiator_id,resource_id,messages,hops,success,nodes_reached
4147,872,4994,4,True,2815
4576,592,3244,3,True,556
4121,2410,4472,4,True,1097
2785,958,4999,4,True,3683
4204,2111,4999,5,True,4910
4406,4709,4923,4,True,1865
2049,3627,3818,3,True,752
3089,4613,4999,4,True,3886
3961,1992,945,3,True,115
2782,3758,4557,4,True,1224
3774,4807,4857,4,True,1583
224,3948,4435,4,True,1075
952,2112,4808,4,True,1469
553,3134,4999,5,True,4892
1805,1883,4374,4,True,1032
2586,3378,4998,4,True,2889
2892,4231,4999,4,True,4030
4388,79,4967,4,True,2197
2157,2033,4725,4,True,1374
2353,761,4999,4,True,3867
3268,2801,4999,4,True,3994
622,4542,4953,4,True,1980
1462,3903,4999,4,True,3499
2571,2896,2537,3,True,381
1790,4699,4999,4,True,3478
2204,1497,4999,5,True,4813
1557,4087,421,2,True,50
1635,1923,4999,4,True,3665
1982,2174,4999,5,True,4099
1693,1877,4999,5,True,4110
1661,2045,2132,3,True,301
2916,1277,4992,4,True,2452
873,982,4997,4,True,3234
642,4035,3064,3,True,505
54,4435,4887,4,True,1789
346,3950,1294,3,True,164
3040,2583,4999,5,True,4442
4033,4706,4917,4,True,1800
2250,4020,4991,4,True,2619
1498,4187,4915,4,True,1830
2295,3259,4999,5,True,4156
1819,4724,4923,4,True,1884
1050,443,4998,4,True,3072
4306,3466,4919,4,True,1787
3918,4429,4467,4,True,1101
266,4116,4999,5,True,4968
2844,3225,4999,4,True,3682
1431,3745,1590,3,True,206
986,4245,4999,5,True,4060
3768,2585,4999,5,True,4871
68,96,4994,4,True,2866
1726,3108,4829,4,True,1545
4759,825,4990,4,True,2647
2665,2962,673,2,True,81
2127,1533,4999,5,True,4279
4493,2153,4989,4,True,2442
1942,2206,4985,4,True,2394
3861,2810,4974,4,True,2176
2997,1506,4999,5,True,4655
4085,3472,685,2,True,83
1724,3433,2915,3,True,467
3049,2990,3437,3,True,605
3281,2290,4999,5,True,4750
3692,1473,4998,4,True,3033
4680,1074,4953,4,True,1982
4717,1872,3131,3,True,522
818,2211,4938,4,True,1845
1931,4549,3258,3,True,559
3540,3120,4971,4,True,2126
1606,1194,4999,5,True,4645
1225,3874,4999,5,True,4558
79,1446,4893,4,True,1698
3453,4092,4908,4,True,1782
1101,4235,4999,4,True,3211
4374,2586,3660,3,True,676
3986,2457,4373,4,True,1034
2055,4605,4453,4,True,1079
4651,390,2445,3,True,362
3263,810,4999,4,True,3531
1338,491,4794,4,True,1486
1765,2083,4207,4,True,906
3903,788,3401,3,True,602
3685,2741,3188,3,True,524
2128,2957,4999,4,True,3901
2951,4590,4780,4,True,1482
4566,2111,4999,4,True,3355
2819,162,4999,4,True,3289
3373,993,4999,5,True,4675
2876,4960,4984,4,True,2489
1629,4725,3451,3,True,605
4717,4410,4999,4,True,3804
1429,2331,4712,4,True,1379
2909,2663,3049,3,True,498
4181,3993,4691,4,True,1307
3661,642,4999,4,True,3618
3121,2347,4999,5,True,4978
3799,1186,377,2,True,44
1372,2763,4923,4,True,1877
3455,4682,4999,5,True,4689
3315,584,4247,4,True,928
