initiator_id,resource_id,messages,hops,success,nodes_reached
11743,3450,14315,7,True,8100
13894,12003,11964,6,True,4928
13277,3687,14286,7,True,8069
11475,12054,12977,7,True,5901
861,14179,13432,7,True,6359
12714,2933,14416,7,True,8328
14037,7987,14050,7,True,7499
11917,6419,14691,7,True,9358
4900,13353,14994,8,True,12931
10801,14948,14989,8,True,12654
13902,2608,14992,7,True,12678
353,8977,13351,7,True,6387
6427,5528,11463,6,True,4530
6921,11106,240,3,True,61
7756,5706,11031,6,True,4242
12414,6412,13666,7,True,6753
6407,1176,14986,7,True,12585
8648,11907,698,4,True,181
4637,4626,14988,7,True,12401
11409,3196,568,4,True,145
11486,14028,7432,6,True,2362
8978,6451,8504,6,True,2826
1594,2144,14999,8,True,14628
5298,12325,12450,6,True,5401
12964,9509,13818,7,True,7024
14186,13190,14997,8,True,13327
886,13923,9836,6,True,3480
11625,4981,2767,5,True,746
7496,10725,14166,7,True,7847
2681,9456,13285,7,True,6211
2253,7239,14998,8,True,13512
11402,7904,14664,7,True,9192
4769,14700,14995,8,True,13042
2372,3436,5748,6,True,1713
3573,13178,14127,7,True,7651
12261,3205,14999,8,True,13843
12047,10669,6265,6,True,1881
149,5934,13945,7,True,7324
11894,14027,13258,7,True,6217
9431,1670,477,4,True,123
11113,12869,13288,7,True,6267
14064,2418,12254,6,True,5149
6169,6997,11139,6,True,4317
11132,13789,12380,6,True,5295
2756,922,14811,7,True,9940
1573,5825,12628,7,True,5602
7763,2943,12779,7,True,5700
859,1922,14226,7,True,7847
8444,10651,10150,6,True,3705
5545,9722,11413,6,True,4479
7107,2434,14833,7,True,10199
10272,11838,14999,8,True,14523
6619,4014,10840,6,True,4128
556,1946,10336,6,True,3795
3946,6498,14862,7,True,10355
8005,4959,14968,7,True,11396
11271,9767,14567,7,True,8651
2826,10695,14649,7,True,9324
12209,6150,10724,6,True,4012
12711,11334,5594,6,True,1660
13030,10989,14999,8,True,14829
10789,1468,14148,7,True,7638
12742,7596,14999,8,True,13616
14170,13405,13653,7,True,6776
10654,6260,14999,8,True,14149
4509,10360,14617,7,True,9088
10701,7292,704,4,True,179
6018,190,12781,7,True,5672
1966,1910,12596,7,True,5568
1353,1999,14999,8,True,14921
8015,10508,14999,8,True,14700
10957,14884,12822,7,True,5767
8351,3685,14997,8,True,13415
377,9614,14684,7,True,9244
9387,9381,14685,7,True,9117
7856,4484,14193,7,True,7775
11366,12211,14797,7,True,9918
1549,13014,14456,7,True,8468
9713,2967,14862,7,True,10419
6290,7932,14987,7,True,12404
10561,11513,11854,6,True,4851
7105,4888,14914,7,True,10896
9362,2051,9731,6,True,3436
1629,5328,9528,6,True,3341
1040,11694,13589,7,True,6641
14891,14126,14081,7,True,7541
13028,8806,14999,8,True,14552
3029,6640,14989,7,True,12375
13318,11480,14936,7,True,11088
323,6451,14976,7,True,12116
9110,13393,14878,7,True,10692
8788,12836,14857,7,True,10227
13307,8684,14780,7,True,9657
8004,1047,14631,7,True,8996
8501,13715,14948,7,True,11473
9580,8830,12900,7,True,5831
11694,13415,14623,7,True,9021
12944,10677,14660,7,True,9168
2033,12345,14951,7,True,11400
12336,3399,12273,6,True,5155
