initiator_id,resource_id,messages,hops,success,nodes_reached
71,57,12,0,False,12
12,379,11,0,False,11
140,125,12,0,False,12
114,71,10,0,False,10
121,52,10,0,False,10
90,379,1,1,True,1
200,279,12,0,False,12
44,302,8,0,False,8
216,16,10,0,False,10
15,47,9,0,False,9
111,119,9,0,False,9
2,308,10,0,False,10
13,287,9,0,False,9
101,366,9,0,False,9
76,359,10,0,False,10
23,214,10,0,False,10
112,229,10,0,False,10
45,142,10,0,False,10
158,445,9,0,False,9
3,388,9,0,False,9
156,81,11,0,False,11
101,216,12,0,False,12
174,142,9,0,False,9
79,110,1,1,True,1
234,390,11,0,False,11
172,52,10,0,False,10
47,194,12,0,False,12
49,183,9,0,False,9
177,176,8,0,False,8
53,135,11,0,False,11
157,22,10,0,False,10
117,235,11,0,False,11
18,63,10,0,False,10
242,472,10,0,False,10
193,40,11,0,False,11
26,150,10,0,False,10
168,321,11,0,False,11
60,453,12,0,False,12
185,185,8,0,False,8
39,98,9,0,False,9
104,35,10,0,False,10
23,338,9,0,False,9
116,395,13,0,False,13
148,40,12,0,False,12
181,119,10,0,False,10
187,51,9,0,False,9
194,142,10,0,False,10
232,325,11,0,False,11
171,186,1,1,True,1
83,189,12,0,False,12
181,107,12,0,False,12
87,136,12,0,False,12
103,479,11,0,False,11
93,331,9,0,False,9
36,311,9,0,False,9
69,87,9,0,False,9
17,373,10,0,False,10
125,83,10,0,False,10
236,194,10,0,False,10
138,473,10,0,False,10
71,352,9,0,False,9
29,112,11,0,False,11
94,166,12,0,False,12
175,393,9,0,False,9
141,28,10,0,False,10
117,420,11,0,False,11
16,412,10,0,False,10
161,205,11,0,False,11
137,33,10,0,False,10
108,467,12,0,False,12
226,290,10,0,False,10
192,367,11,0,False,11
161,108,11,0,False,11
79,255,3,3,True,3
202,452,9,0,False,9
212,329,11,0,False,11
234,73,10,0,False,10
135,71,10,0,False,10
126,381,1,1,True,1
31,275,9,0,False,9
134,382,12,0,False,12
43,219,12,0,False,12
203,298,11,0,False,11
204,185,11,0,False,11
112,70,10,0,False,10
4,252,5,5,True,5
46,386,11,0,False,11
24,440,10,0,False,10
56,78,11,0,False,11
65,81,9,0,False,9
149,348,10,0,False,10
216,305,11,0,False,11
32,197,11,0,False,11
195,305,12,0,False,12
239,270,11,0,False,11
128,497,11,0,False,11
27,440,10,0,False,10
226,5,11,0,False,11
92,369,10,0,False,10
58,349,10,0,False,10
