initiator_id,resource_id,messages,hops,success,nodes_reached
654,114,7,7,True,7
25,759,6,6,True,6
281,250,4,4,True,4
228,142,3,3,True,3
754,104,4,4,True,4
692,758,1,1,True,1
913,558,6,6,True,6
89,604,2,2,True,2
432,32,3,3,True,3
30,95,1,1,True,1
223,238,2,2,True,2
517,616,4,4,True,4
27,574,3,3,True,3
203,733,3,3,True,3
665,718,3,3,True,3
558,429,3,3,True,3
225,459,3,3,True,3
603,284,4,4,True,4
828,890,2,2,True,2
6,777,4,4,True,4
825,163,5,5,True,5
714,432,6,6,True,6
348,284,1,1,True,1
159,220,2,2,True,2
980,781,4,4,True,4
344,104,3,3,True,3
94,389,5,5,True,5
99,367,3,3,True,3
867,352,2,2,True,2
618,270,5,5,True,5
826,44,4,4,True,4
747,470,6,6,True,6
549,127,4,4,True,4
996,944,3,3,True,3
387,80,4,4,True,4
565,300,4,4,True,4
849,643,4,4,True,4
633,906,5,5,True,5
882,370,1,1,True,1
591,196,3,3,True,3
721,71,4,4,True,4
46,677,3,3,True,3
233,791,7,7,True,7
296,81,5,5,True,5
875,238,4,4,True,4
887,103,3,3,True,3
389,284,3,3,True,3
464,650,5,5,True,5
854,373,2,2,True,2
166,379,6,6,True,6
363,214,6,6,True,6
686,273,7,7,True,7
718,959,4,4,True,4
699,663,3,3,True,3
73,623,3,3,True,3
650,175,3,3,True,3
546,746,3,3,True,3
250,167,4,4,True,4
473,388,4,4,True,4
276,947,4,4,True,4
655,704,3,3,True,3
570,224,5,5,True,5
701,332,6,6,True,6
863,786,3,3,True,3
794,57,3,3,True,3
234,841,5,5,True,5
32,824,4,4,True,4
323,410,4,4,True,4
274,67,3,3,True,3
216,935,7,7,True,7
965,580,2,2,True,2
897,735,5,5,True,5
322,217,4,4,True,4
671,511,4,4,True,4
405,905,4,4,True,4
936,658,4,4,True,4
469,146,3,3,True,3
271,142,2,2,True,2
252,762,2,2,True,2
574,551,2,2,True,2
269,764,6,6,True,6
598,438,5,5,True,5
919,597,3,3,True,3
408,370,4,4,True,4
224,141,4,4,True,4
521,505,6,6,True,6
93,773,5,5,True,5
48,881,3,3,True,3
112,156,5,5,True,5
642,163,2,2,True,2
811,696,3,3,True,3
432,610,5,5,True,5
65,394,4,4,True,4
390,610,6,6,True,6
479,541,4,4,True,4
257,994,4,4,True,4
566,881,3,3,True,3
965,11,6,6,True,6
696,738,3,3,True,3
117,698,5,5,True,5
