initiator_id,resource_id,messages,hops,success,nodes_reached
81,14,4,4,True,4
3,94,4,4,True,4
35,31,4,4,True,4
28,17,2,2,True,2
94,13,2,2,True,2
86,94,1,1,True,1
69,11,3,3,True,3
75,54,5,5,True,5
4,3,2,2,True,2
11,27,1,1,True,1
29,64,4,4,True,4
77,3,3,3,True,3
71,25,4,4,True,4
91,83,1,1,True,1
89,69,3,3,True,3
53,28,2,2,True,2
57,75,3,3,True,3
35,0,2,2,True,2
97,20,4,4,True,4
89,54,4,4,True,4
43,35,1,1,True,1
19,27,1,1,True,1
97,43,2,2,True,2
13,11,1,1,True,1
48,12,4,4,True,4
45,44,1,1,True,1
77,33,4,4,True,4
5,93,3,3,True,3
58,68,3,3,True,3
15,48,4,4,True,4
10,70,3,3,True,3
37,80,3,3,True,3
79,46,2,2,True,2
73,24,2,2,True,2
90,8,2,2,True,2
5,84,2,2,True,2
29,98,2,2,True,2
37,10,3,3,True,3
29,12,1,1,True,1
48,35,2,2,True,2
58,81,3,3,True,3
46,20,3,3,True,3
47,45,1,1,True,1
26,85,3,3,True,3
34,89,4,4,True,4
87,82,1,1,True,1
9,77,2,2,True,2
81,21,2,2,True,2
68,93,2,2,True,2
31,20,2,2,True,2
59,48,2,2,True,2
34,81,3,3,True,3
88,71,3,3,True,3
28,87,2,2,True,2
41,98,2,2,True,2
99,7,3,3,True,3
29,4,2,2,True,2
40,51,2,2,True,2
34,8,2,2,True,2
27,72,2,2,True,2
91,40,3,3,True,3
27,83,2,2,True,2
63,50,2,2,True,2
82,58,3,3,True,3
18,33,2,2,True,2
17,31,2,2,True,2
95,71,2,2,True,2
68,33,3,3,True,3
95,74,2,2,True,2
54,74,3,3,True,3
51,46,3,3,True,3
28,17,2,2,True,2
65,63,5,5,True,5
11,96,2,2,True,2
6,14,1,1,True,1
19,80,2,2,True,2
20,87,2,2,True,2
54,76,4,4,True,4
8,49,3,3,True,3
48,76,4,4,True,4
59,67,2,2,True,2
32,70,3,3,True,3
1,87,3,3,True,3
92,14,2,2,True,2
87,68,2,2,True,2
96,34,1,1,True,1
98,82,2,2,True,2
43,14,2,2,True,2
37,55,1,1,True,1
20,58,3,3,True,3
0,92,4,4,True,4
92,33,5,5,True,5
64,97,1,1,True,1
22,64,3,3,True,3
13,80,4,4,True,4
38,81,3,3,True,3
64,77,2,2,True,2
25,19,1,1,True,1
47,97,1,1,True,1
20,69,2,2,True,2
