initiator_id,resource_id,messages,hops,success,nodes_reached
144,204,11,0,False,11
205,2006,10,0,False,10
36,1143,10,0,False,10
71,4467,10,0,False,10
200,4837,10,0,False,10
128,260,9,0,False,9
244,767,9,0,False,9
255,1905,10,0,False,10
43,4931,10,0,False,10
217,4597,10,0,False,10
92,4464,10,0,False,10
108,1805,10,0,False,10
95,4827,9,0,False,9
230,53,11,0,False,11
27,3462,11,0,False,11
227,2276,8,0,False,8
249,1763,10,0,False,10
197,837,9,0,False,9
247,3112,12,0,False,12
24,2940,10,0,False,10
1,4945,10,0,False,10
118,355,9,0,False,9
179,4392,11,0,False,11
254,3100,11,0,False,11
133,4522,10,0,False,10
97,2962,12,0,False,12
121,1575,11,0,False,11
57,375,10,0,False,10
74,2370,8,0,False,8
141,1907,13,0,False,13
59,3113,9,0,False,9
229,3714,10,0,False,10
172,1332,10,0,False,10
216,2910,9,0,False,9
180,2187,11,0,False,11
72,4990,10,0,False,10
121,4375,11,0,False,11
213,1338,12,0,False,12
202,3108,12,0,False,12
163,4562,11,0,False,11
7,2656,10,0,False,10
202,1876,11,0,False,11
6,2584,10,0,False,10
214,2193,9,0,False,9
30,1728,12,0,False,12
38,2577,10,0,False,10
205,4089,10,0,False,10
169,3758,8,0,False,8
146,2169,12,0,False,12
119,2020,10,0,False,10
246,4415,11,0,False,11
104,4788,12,0,False,12
181,4780,10,0,False,10
199,2965,10,0,False,10
4,1133,11,0,False,11
78,4042,9,0,False,9
232,385,11,0,False,11
130,1252,10,0,False,10
30,3458,11,0,False,11
21,520,10,0,False,10
80,3126,10,0,False,10
17,3834,12,0,False,12
238,2059,11,0,False,11
180,94,12,0,False,12
170,4398,9,0,False,9
137,2786,11,0,False,11
145,2404,12,0,False,12
233,1295,11,0,False,11
132,26,11,0,False,11
109,4100,11,0,False,11
183,4158,10,0,False,10
103,2444,12,0,False,12
62,4988,9,0,False,9
93,1252,12,0,False,12
247,1323,12,0,False,12
66,4344,12,0,False,12
4,4906,10,0,False,10
95,4002,13,0,False,13
159,916,9,0,False,9
157,2519,10,0,False,10
169,474,11,0,False,11
181,4647,10,0,False,10
133,701,10,0,False,10
141,566,12,0,False,12
11,1030,9,0,False,9
27,3893,10,0,False,10
151,1352,12,0,False,12
123,4322,11,0,False,11
105,3466,11,0,False,11
199,4417,9,0,False,9
111,2553,10,0,False,10
196,3059,10,0,False,10
4,4239,10,0,False,10
114,991,11,0,False,11
238,1840,12,0,False,12
12,2769,12,0,False,12
172,4819,12,0,False,12
185,1885,11,0,False,11
212,1804,11,0,False,11
58,581,12,0,False,12
