initiator_id,resource_id,messages,hops,success,nodes_reached
10476,1824,9,9,True,9
409,12149,9,9,True,9
4506,4012,7,7,True,7
3657,2286,5,5,True,5
12066,1679,7,7,True,7
11087,12135,3,3,True,3
14617,8935,10,10,True,10
1424,9674,4,4,True,4
6912,520,4,4,True,4
488,1535,3,3,True,3
3582,3811,5,5,True,5
8279,9863,5,5,True,5
434,9195,5,5,True,5
3257,11731,5,5,True,5
10647,11490,6,6,True,6
8928,6873,6,6,True,6
3611,7359,5,5,True,5
9654,4557,7,7,True,7
13261,14242,5,5,True,5
106,12432,7,7,True,7
13202,2615,7,7,True,7
11438,6924,7,7,True,7
5574,4552,3,3,True,3
2547,3527,4,4,True,4
12509,5514,6,6,True,6
1674,1519,5,5,True,5
6224,1584,6,6,True,6
5881,13885,4,4,True,4
5635,9891,4,4,True,4
4333,13223,5,5,True,5
711,11955,7,7,True,7
7527,8785,8,8,True,8
2045,6201,8,8,True,8
1291,9044,7,7,True,7
4803,13588,8,8,True,8
10299,10133,8,8,True,8
14507,14118,7,7,True,7
5925,9459,8,8,True,8
3150,11543,5,5,True,5
1139,750,6,6,True,6
10834,3733,5,5,True,5
12665,4741,9,9,True,9
1307,14013,7,7,True,7
3814,14196,9,9,True,9
1654,6227,6,6,True,6
4554,7428,6,6,True,6
10415,13666,8,8,True,8
5977,2664,6,6,True,6
6065,5820,3,3,True,3
3432,10980,7,7,True,7
4374,11498,11,11,True,11
11199,10617,4,4,True,4
1169,9980,6,6,True,6
10403,2803,4,4,True,4
8751,11946,4,4,True,4
4010,2677,7,7,True,7
7573,6216,7,7,True,7
4422,10485,7,7,True,7
11274,9125,8,8,True,8
3598,11216,8,8,True,8
5313,13809,4,4,True,4
12588,12713,2,2,True,2
916,3752,7,7,True,7
13464,525,7,7,True,7
13189,5168,8,8,True,8
6572,4386,4,4,True,4
1084,3456,7,7,True,7
14960,9292,8,8,True,8
14358,11762,7,7,True,7
5155,3483,7,7,True,7
10738,8179,4,4,True,4
6482,14494,6,6,True,6
14983,10532,5,5,True,5
7517,2340,6,6,True,6
4339,2287,5,5,True,5
4040,12205,4,4,True,4
9197,8830,3,3,True,3
4304,12239,9,9,True,9
9577,7019,5,5,True,5
14709,9560,6,6,True,6
6543,5930,6,6,True,6
3593,2266,5,5,True,5
8348,8085,7,7,True,7
1489,12382,7,7,True,7
771,14108,6,6,True,6
1796,2504,7,7,True,7
10280,2621,4,4,True,4
12977,11149,7,7,True,7
6916,9771,7,7,True,7
1040,6304,6,6,True,6
6252,9763,8,8,True,8
7668,8669,5,5,True,5
4119,9064,9,9,True,9
14103,188,8,8,True,8
11145,11808,5,5,True,5
1876,11169,8,8,True,8
14496,8797,9,9,True,9
12302,4371,5,5,True,5
12592,10501,5,5,True,5
5573,1827,6,6,True,6
