round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,100,98,50,50,1.0,905.72,3.32
1,1000,100,81,50,45,0.9,908.64,3.2
2,1000,100,69,50,39,0.78,913.04,3.2564102564102564
3,1000,100,72,50,39,0.78,898.26,3.230769230769231
4,1000,100,65,50,38,0.76,912.66,3.1842105263157894
5,1000,100,49,50,28,0.56,959.18,3.2857142857142856
6,1000,100,55,50,32,0.64,933.24,3.125
7,1000,100,44,50,25,0.5,932.08,3.08
8,1000,100,46,50,16,0.32,977.72,3.375
9,1000,100,41,50,18,0.36,958.02,3.2222222222222223
10,1000,100,40,50,20,0.4,962.12,3.25
11,1000,100,37,50,14,0.28,993.68,3.5
12,1000,100,37,50,14,0.28,961.58,3.0
13,1000,100,28,50,18,0.36,987.06,3.2222222222222223
14,1000,100,13,50,9,0.18,966.62,2.888888888888889
15,1000,100,17,50,11,0.22,982.88,3.272727272727273
16,1000,100,24,50,13,0.26,986.76,3.230769230769231
17,1000,100,21,50,14,0.28,974.24,3.0714285714285716
18,1000,100,14,50,7,0.14,991.92,3.142857142857143
19,1000,100,12,50,6,0.12,962.24,3.0
