round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,3.963,0.209,3.963,0.209,30
1,0.8933,0.0444,4.865,0.382,4.103,0.213,30
2,0.8013,0.0589,5.616,0.485,4.222,0.255,30
3,0.7127,0.0572,6.295,0.401,4.245,0.267,30
4,0.67,0.0682,6.711,0.525,4.36,0.199,30
5,0.59,0.0725,7.328,0.507,4.464,0.247,30
6,0.5373,0.0692,7.765,0.462,4.477,0.3,30
7,0.492,0.0768,8.115,0.545,4.51,0.293,30
8,0.438,0.0743,8.579,0.571,4.636,0.365,30
9,0.374,0.0745,9.24,0.578,4.807,0.363,30
10,0.3353,0.0535,9.567,0.489,4.809,0.372,30
11,0.3133,0.0624,10.0,0.542,5.056,0.627,30
12,0.29,0.0808,10.288,0.638,5.316,0.535,30
13,0.2693,0.0801,10.661,0.668,5.407,0.728,30
14,0.2387,0.057,11.023,0.594,5.467,0.881,30
15,0.1933,0.0593,11.687,0.661,6.076,1.007,30
16,0.1747,0.0445,11.996,0.621,6.321,1.159,30
17,0.1473,0.0552,12.393,0.56,6.576,1.359,30
18,0.1507,0.0607,12.607,0.513,6.881,1.332,30
19,0.1027,0.0399,13.233,0.633,7.29,2.365,30
