round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,50,50,50,50,1.0,3.68,3.68
1,1000,50,47,50,48,0.96,4.7,4.4375
2,1000,50,44,50,48,0.96,4.38,4.125
3,1000,50,40,50,43,0.86,5.12,4.069767441860465
4,1000,50,43,50,37,0.74,6.02,4.027027027027027
5,1000,50,38,50,44,0.88,4.84,3.977272727272727
6,1000,50,35,50,41,0.82,5.82,4.609756097560975
7,1000,50,39,50,34,0.68,6.7,4.470588235294118
8,1000,50,34,50,36,0.72,6.1,4.138888888888889
9,1000,50,33,50,31,0.62,7.08,4.258064516129032
10,1000,50,25,50,28,0.56,7.6,4.392857142857143
11,1000,50,19,50,36,0.72,6.2,4.388888888888889
12,1000,50,25,50,26,0.52,8.02,4.730769230769231
13,1000,50,26,50,26,0.52,8.0,4.538461538461538
14,1000,50,30,50,22,0.44,8.3,4.363636363636363
15,1000,50,21,50,24,0.48,7.94,4.291666666666667
16,1000,50,23,50,26,0.52,7.96,4.461538461538462
17,1000,50,27,50,25,0.5,8.1,4.44
18,1000,50,20,50,21,0.42,8.86,4.904761904761905
19,1000,50,21,50,26,0.52,8.08,4.615384615384615
