round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,4443.752,139.383,3.98,0.093,30
1,0.8947,0.0442,4550.483,145.973,3.99,0.108,30
2,0.8247,0.0463,4603.352,143.027,3.972,0.106,30
3,0.7127,0.0557,4665.521,142.673,3.949,0.132,30
4,0.6393,0.0696,4715.912,106.379,3.96,0.123,30
5,0.5973,0.0761,4736.855,129.786,3.933,0.133,30
6,0.532,0.0672,4744.753,101.188,3.917,0.131,30
7,0.4853,0.0689,4765.005,103.006,3.934,0.16,30
8,0.4207,0.0785,4775.932,98.06,3.891,0.154,30
9,0.382,0.0884,4857.643,92.795,3.974,0.126,30
10,0.3473,0.0704,4840.204,92.063,3.935,0.158,30
11,0.3087,0.0706,4871.853,70.337,3.916,0.145,30
12,0.28,0.0695,4868.237,73.442,3.915,0.129,30
13,0.24,0.0504,4910.179,43.206,3.93,0.16,30
14,0.226,0.0549,4897.116,66.446,3.9,0.177,30
15,0.2127,0.06,4897.109,66.221,3.943,0.218,30
16,0.1833,0.0496,4930.055,59.856,3.988,0.282,30
17,0.16,0.059,4924.565,54.023,3.944,0.204,30
18,0.1487,0.0495,4932.403,46.211,3.897,0.283,30
19,0.1327,0.0605,4947.209,50.773,3.976,0.283,30
