round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,750,720,50,50,1.0,13724.86,4.62
1,15000,750,712,50,46,0.92,13815.68,4.521739130434782
2,15000,750,712,50,45,0.9,13696.84,4.5777777777777775
3,15000,750,673,50,43,0.86,13807.76,4.511627906976744
4,15000,750,641,50,41,0.82,13348.2,4.2926829268292686
5,15000,750,610,50,33,0.66,13586.42,4.363636363636363
6,15000,750,509,50,37,0.74,14172.72,4.54054054054054
7,15000,750,533,50,35,0.7,14069.48,4.4
8,15000,750,490,50,32,0.64,14308.6,4.5
9,15000,750,449,50,35,0.7,13955.62,4.485714285714286
10,15000,750,402,50,29,0.58,14470.6,4.517241379310345
11,15000,750,392,50,30,0.6,13732.3,4.3
12,15000,750,386,50,28,0.56,14596.44,4.607142857142857
13,15000,750,388,50,23,0.46,14217.3,4.521739130434782
14,15000,750,395,50,26,0.52,13955.32,4.269230769230769
15,15000,750,347,50,27,0.54,13664.84,4.2592592592592595
16,15000,750,318,50,16,0.32,14757.14,4.8125
17,15000,750,311,50,19,0.38,14470.12,4.578947368421052
18,15000,750,264,50,17,0.34,14419.38,4.411764705882353
19,15000,750,288,50,19,0.38,14746.86,4.368421052631579
