round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,912.161,20.448,3.319,0.083,30
1,0.9013,0.0364,916.523,22.774,3.296,0.088,30
2,0.81,0.061,916.703,30.39,3.262,0.127,30
3,0.7313,0.0567,927.343,25.397,3.245,0.095,30
4,0.6787,0.0634,933.459,23.77,3.233,0.125,30
5,0.5733,0.0663,945.901,23.314,3.229,0.136,30
6,0.55,0.0825,949.672,20.337,3.233,0.146,30
7,0.4787,0.0652,948.993,23.596,3.23,0.156,30
8,0.4227,0.0632,965.848,19.394,3.269,0.127,30
9,0.3807,0.0704,963.713,16.232,3.21,0.118,30
10,0.3693,0.0614,966.042,15.463,3.224,0.136,30
11,0.3133,0.0814,972.046,19.459,3.243,0.164,30
12,0.3033,0.0732,970.636,13.253,3.189,0.161,30
13,0.248,0.0582,976.793,17.098,3.212,0.251,30
14,0.228,0.0593,977.001,13.635,3.216,0.211,30
15,0.2067,0.0631,978.538,15.678,3.163,0.212,30
16,0.216,0.0513,978.192,13.385,3.207,0.221,30
17,0.1673,0.0542,983.387,11.101,3.179,0.25,30
18,0.1653,0.0517,985.323,12.376,3.235,0.265,30
19,0.142,0.0569,983.843,14.093,3.263,0.297,30
