round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,921.773,24.407,3.373,0.076,3
1,0.9533,0.0306,863.767,40.415,3.19,0.15,3
2,0.9333,0.0306,913.093,2.194,3.301,0.105,3
3,0.8533,0.0416,919.527,39.133,3.269,0.128,3
4,0.8867,0.0416,909.32,25.359,3.247,0.14,3
5,0.7667,0.0577,916.393,19.392,3.207,0.151,3
6,0.7733,0.0808,926.193,50.056,3.245,0.097,3
7,0.62,0.0529,948.76,20.286,3.278,0.098,3
8,0.6333,0.0611,962.913,24.822,3.437,0.1,3
9,0.62,0.1217,950.927,22.505,3.294,0.103,3
10,0.6,0.04,942.967,17.384,3.234,0.059,3
11,0.56,0.0346,914.867,27.2,3.089,0.144,3
12,0.5667,0.0757,936.627,22.219,3.196,0.085,3
13,0.48,0.0529,957.153,31.691,3.298,0.099,3
14,0.5667,0.0902,941.833,20.563,3.23,0.065,3
15,0.4867,0.0306,954.44,14.372,3.207,0.197,3
16,0.4533,0.0924,954.8,10.444,3.243,0.161,3
17,0.3333,0.0306,961.793,13.481,3.169,0.215,3
18,0.38,0.0346,953.453,31.474,3.262,0.196,3
19,0.3867,0.0306,951.84,28.029,3.19,0.172,3
