round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,912.161,20.448,3.319,0.083,30
1,0.9547,0.0283,893.163,30.572,3.273,0.095,30
2,0.8953,0.0406,915.203,23.123,3.294,0.09,30
3,0.8667,0.0418,916.963,23.725,3.269,0.094,30
4,0.844,0.0526,923.203,33.081,3.31,0.109,30
5,0.782,0.0644,923.602,27.704,3.267,0.115,30
6,0.7567,0.0654,926.66,26.773,3.28,0.105,30
7,0.6767,0.0836,929.998,31.323,3.247,0.133,30
8,0.668,0.0605,947.572,18.577,3.304,0.102,30
9,0.632,0.068,936.13,23.305,3.266,0.114,30
10,0.5873,0.0764,938.671,21.076,3.232,0.116,30
11,0.584,0.064,946.794,24.125,3.258,0.123,30
12,0.5413,0.08,950.673,19.45,3.275,0.122,30
13,0.4953,0.0651,948.301,23.477,3.257,0.138,30
14,0.494,0.0737,942.718,25.287,3.231,0.144,30
15,0.468,0.0796,951.133,22.353,3.225,0.145,30
16,0.44,0.094,958.327,18.888,3.271,0.148,30
17,0.3913,0.0731,961.908,18.476,3.218,0.154,30
18,0.386,0.0608,963.599,16.554,3.322,0.133,30
19,0.376,0.0544,966.412,20.188,3.283,0.17,30
