round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,13409.296,437.055,4.507,0.104,30
1,0.798,0.0665,13904.569,382.19,4.438,0.13,30
2,0.6573,0.0759,14091.714,386.435,4.393,0.12,30
3,0.4987,0.0741,14371.291,267.28,4.379,0.126,30
4,0.4033,0.0635,14385.766,277.132,4.302,0.161,30
5,0.318,0.062,14597.546,268.798,4.359,0.169,30
6,0.264,0.0792,14636.076,249.942,4.294,0.18,30
7,0.2287,0.0572,14674.839,210.293,4.316,0.171,30
8,0.1673,0.0537,14811.761,154.172,4.325,0.187,30
9,0.152,0.0582,14763.717,213.53,4.287,0.296,30
10,0.116,0.0453,14824.36,156.412,4.256,0.274,30
11,0.0867,0.0354,14852.268,174.404,4.23,0.327,30
12,0.0647,0.0305,14905.741,110.061,4.252,0.371,30
13,0.0487,0.0291,14913.015,108.491,4.037,0.967,30
14,0.0393,0.0317,14962.157,56.921,3.654,1.71,30
15,0.0313,0.0208,14939.135,105.245,3.489,1.683,30
16,0.0367,0.0247,14958.323,75.849,3.5,1.822,30
17,0.0227,0.0187,14974.826,43.056,3.217,2.025,30
18,0.0173,0.0215,14981.935,36.037,2.356,2.279,30
19,0.0193,0.0193,14962.37,70.008,2.556,2.044,30
