round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,500,458,50,50,1.0,4401.9,4.0
1,5000,500,438,50,43,0.86,4552.78,3.953488372093023
2,5000,500,408,50,45,0.9,4404.4,3.911111111111111
3,5000,500,363,50,36,0.72,4698.4,3.8333333333333335
4,5000,500,352,50,31,0.62,4618.78,3.774193548387097
5,5000,500,294,50,28,0.56,4823.0,3.9285714285714284
6,5000,500,311,50,26,0.52,4738.72,3.923076923076923
7,5000,500,260,50,22,0.44,4891.78,3.909090909090909
8,5000,500,187,50,13,0.26,4827.98,4.0
9,5000,500,182,50,22,0.44,4893.74,4.0
10,5000,500,175,50,11,0.22,4852.92,4.181818181818182
11,5000,500,178,50,22,0.44,4770.56,3.772727272727273
12,5000,500,140,50,12,0.24,4877.42,3.9166666666666665
13,5000,500,145,50,8,0.16,4884.5,3.625
14,5000,500,115,50,13,0.26,4939.78,3.8461538461538463
15,5000,500,94,50,8,0.16,4916.3,3.75
16,5000,500,73,50,6,0.12,4977.02,4.0
17,5000,500,89,50,11,0.22,4943.58,4.0
18,5000,500,70,50,8,0.16,4961.26,4.125
19,5000,500,66,50,13,0.26,4967.42,4.153846153846154
