round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,750,750,50,50,1.0,6.12,6.12
1,15000,750,719,50,45,0.9,6.86,6.111111111111111
2,15000,750,681,50,45,0.9,6.48,5.822222222222222
3,15000,750,659,50,45,0.9,7.0,6.377777777777778
4,15000,750,620,50,40,0.8,7.76,6.375
5,15000,750,565,50,39,0.78,7.76,6.282051282051282
6,15000,750,534,50,37,0.74,7.84,6.1891891891891895
7,15000,750,493,50,35,0.7,8.06,6.085714285714285
8,15000,750,507,50,32,0.64,8.88,6.4375
9,15000,750,496,50,31,0.62,8.72,5.870967741935484
10,15000,750,431,50,29,0.58,9.0,6.241379310344827
11,15000,750,422,50,29,0.58,9.32,6.344827586206897
12,15000,750,412,50,25,0.5,9.8,6.36
13,15000,750,385,50,22,0.44,10.12,6.409090909090909
14,15000,750,347,50,24,0.48,10.32,6.333333333333333
15,15000,750,360,50,26,0.52,10.18,6.8076923076923075
16,15000,750,348,50,19,0.38,11.06,5.894736842105263
17,15000,750,308,50,22,0.44,10.7,6.5
18,15000,750,331,50,18,0.36,11.12,6.722222222222222
19,15000,750,280,50,18,0.36,11.16,7.0
