round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,200,200,50,50,1.0,3.68,3.68
1,1000,200,167,50,40,0.8,5.54,4.15
2,1000,200,127,50,27,0.54,7.84,4.7407407407407405
3,1000,200,109,50,22,0.44,8.26,4.0
4,1000,200,75,50,24,0.48,8.68,5.125
5,1000,200,57,50,16,0.32,9.58,4.4375
6,1000,200,44,50,13,0.26,10.42,4.3076923076923075
7,1000,200,41,50,11,0.22,11.56,5.7272727272727275
8,1000,200,33,50,9,0.18,11.94,7.444444444444445
9,1000,200,27,50,4,0.08,11.9,5.25
10,1000,200,16,50,7,0.14,13.1,5.714285714285714
11,1000,200,23,50,6,0.12,13.7,7.5
12,1000,200,17,50,3,0.06,13.44,6.666666666666667
13,1000,200,6,50,3,0.06,12.42,11.0
14,1000,200,7,50,0,0.0,12.84,0.0
15,1000,200,12,50,0,0.0,12.34,0.0
16,1000,200,8,50,0,0.0,12.78,0.0
17,1000,200,8,50,1,0.02,11.02,7.0
18,1000,200,3,50,1,0.02,12.34,6.0
19,1000,200,3,50,1,0.02,11.7,9.0
