round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,1000,1000,50,50,1.0,4.84,4.84
1,5000,1000,793,50,40,0.8,7.08,5.8
2,5000,1000,659,50,37,0.74,7.24,5.45945945945946
3,5000,1000,500,50,25,0.5,9.4,5.64
4,5000,1000,398,50,21,0.42,9.66,5.523809523809524
5,5000,1000,349,50,17,0.34,11.0,6.176470588235294
6,5000,1000,257,50,14,0.28,12.08,7.785714285714286
7,5000,1000,212,50,12,0.24,13.06,6.666666666666667
8,5000,1000,160,50,12,0.24,13.02,7.583333333333333
9,5000,1000,131,50,8,0.16,14.86,9.75
10,5000,1000,102,50,1,0.02,16.2,3.0
11,5000,1000,79,50,4,0.08,15.88,14.25
12,5000,1000,72,50,2,0.04,15.84,4.5
13,5000,1000,55,50,1,0.02,14.6,15.0
14,5000,1000,47,50,1,0.02,13.7,11.0
15,5000,1000,36,50,1,0.02,14.1,8.0
16,5000,1000,33,50,1,0.02,12.48,3.0
17,5000,1000,26,50,0,0.0,11.7,0.0
18,5000,1000,21,50,0,0.0,13.5,0.0
19,5000,1000,22,50,0,0.0,12.82,0.0
