round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,5.141,0.249,5.141,0.249,30
1,0.7967,0.0707,6.681,0.54,5.21,0.253,30
2,0.6127,0.0778,8.145,0.614,5.385,0.23,30
3,0.5013,0.0765,9.033,0.62,5.507,0.357,30
4,0.402,0.0753,9.902,0.575,5.65,0.419,30
5,0.346,0.0715,10.622,0.644,5.913,0.49,30
6,0.2607,0.0574,11.78,0.54,6.407,0.678,30
7,0.2073,0.0729,12.817,0.651,7.285,0.921,30
8,0.168,0.0519,13.901,0.531,7.875,1.195,30
9,0.1167,0.0479,14.977,0.667,9.093,1.978,30
10,0.074,0.0421,15.784,0.843,9.179,3.541,30
11,0.0453,0.0283,16.165,0.719,8.062,4.099,30
12,0.028,0.0266,15.511,0.626,6.113,5.532,30
13,0.0127,0.0134,14.547,0.732,5.833,6.31,30
14,0.0127,0.0144,13.811,0.845,4.767,5.788,30
15,0.0067,0.0096,13.186,0.577,3.467,5.463,30
16,0.0093,0.0136,13.005,0.708,3.667,5.683,30
17,0.0053,0.0104,12.71,0.609,2.1,4.139,30
18,0.0067,0.0109,12.757,0.472,2.483,4.182,30
19,0.0073,0.0098,12.675,0.636,4.1,6.288,30
