round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,3.963,0.209,3.963,0.209,30
1,0.8113,0.06,5.539,0.453,4.192,0.216,30
2,0.6173,0.0812,7.075,0.635,4.392,0.222,30
3,0.5147,0.0766,7.877,0.584,4.448,0.24,30
4,0.416,0.0749,8.902,0.518,4.686,0.335,30
5,0.32,0.0654,9.697,0.526,4.701,0.425,30
6,0.252,0.0474,10.624,0.43,5.156,0.592,30
7,0.2187,0.0705,11.424,0.677,5.894,0.901,30
8,0.1673,0.0625,12.355,0.621,6.579,1.669,30
9,0.1113,0.0567,12.842,0.768,7.73,2.659,30
10,0.084,0.0387,13.101,0.667,7.814,2.612,30
11,0.0627,0.0435,13.145,0.777,6.969,4.01,30
12,0.042,0.027,13.122,0.889,6.298,3.804,30
13,0.028,0.0244,13.014,0.622,6.453,5.059,30
14,0.0273,0.0226,12.69,0.661,6.156,5.637,30
15,0.0147,0.0189,12.778,0.733,3.022,3.945,30
16,0.0113,0.018,12.239,0.517,3.308,4.641,30
17,0.0107,0.0136,11.837,0.397,3.183,4.318,30
18,0.0133,0.0142,11.907,0.68,3.583,5.086,30
19,0.008,0.0124,11.842,0.572,2.233,3.775,30
