round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,5.141,0.249,5.141,0.249,30
1,0.898,0.0471,5.87,0.394,5.13,0.199,30
2,0.8087,0.054,6.664,0.45,5.288,0.234,30
3,0.732,0.0768,7.186,0.617,5.266,0.303,30
4,0.6653,0.0705,7.724,0.504,5.292,0.277,30
5,0.606,0.0709,8.208,0.575,5.399,0.238,30
6,0.5487,0.0562,8.669,0.441,5.451,0.331,30
7,0.466,0.0715,9.349,0.588,5.621,0.332,30
8,0.4253,0.0596,9.673,0.504,5.614,0.392,30
9,0.3847,0.0483,10.184,0.434,5.776,0.284,30
10,0.3533,0.0765,10.521,0.57,5.916,0.478,30
11,0.3247,0.0503,10.89,0.475,6.04,0.594,30
12,0.2907,0.0605,11.312,0.57,5.99,0.734,30
13,0.22,0.0624,12.061,0.617,6.099,0.721,30
14,0.22,0.0523,12.448,0.472,6.871,1.059,30
15,0.196,0.0562,12.965,0.512,7.146,0.966,30
16,0.176,0.0611,13.533,0.691,8.175,1.678,30
17,0.146,0.0554,14.145,0.554,8.062,1.475,30
18,0.128,0.0547,14.717,0.615,8.821,1.496,30
19,0.1093,0.0378,15.012,0.644,9.287,2.729,30
