round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,1000,1004,50,50,1.0,4401.9,4.0
1,5000,1000,750,50,40,0.8,4704.72,3.95
2,5000,1000,672,50,31,0.62,4850.56,3.935483870967742
3,5000,1000,529,50,25,0.5,4692.16,3.76
4,5000,1000,420,50,25,0.5,4826.54,3.88
5,5000,1000,316,50,18,0.36,4967.8,4.055555555555555
6,5000,1000,283,50,15,0.3,4800.7,3.6
7,5000,1000,225,50,11,0.22,4915.66,4.0
8,5000,1000,167,50,8,0.16,4989.78,4.0
9,5000,1000,129,50,5,0.1,4956.16,3.8
10,5000,1000,116,50,2,0.04,4992.5,3.5
11,5000,1000,80,50,4,0.08,4974.88,4.0
12,5000,1000,64,50,2,0.04,4984.36,3.5
13,5000,1000,37,50,2,0.04,4997.58,4.0
14,5000,1000,48,50,1,0.02,4987.36,3.0
15,5000,1000,33,50,1,0.02,4969.94,3.0
16,5000,1000,26,50,3,0.06,4905.38,3.3333333333333335
17,5000,1000,21,50,1,0.02,4999.0,5.0
18,5000,1000,18,50,0,0.0,4999.0,0.0
19,5000,1000,11,50,0,0.0,4999.0,0.0
