round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,3.963,0.209,3.963,0.209,30
1,0.9573,0.0266,4.286,0.314,3.984,0.222,30
2,0.9,0.0386,4.766,0.315,4.049,0.206,30
3,0.8507,0.0413,5.15,0.395,4.075,0.273,30
4,0.798,0.0539,5.593,0.384,4.129,0.19,30
5,0.7807,0.0744,5.734,0.563,4.152,0.186,30
6,0.746,0.0528,6.051,0.412,4.281,0.232,30
7,0.712,0.0603,6.351,0.591,4.301,0.325,30
8,0.6607,0.0634,6.673,0.495,4.261,0.271,30
9,0.628,0.0661,7.011,0.492,4.389,0.29,30
10,0.6047,0.0828,7.177,0.643,4.352,0.272,30
11,0.566,0.0811,7.482,0.667,4.449,0.348,30
12,0.5527,0.0595,7.625,0.479,4.498,0.257,30
13,0.4967,0.08,7.998,0.635,4.412,0.264,30
14,0.462,0.0665,8.337,0.457,4.385,0.339,30
15,0.472,0.0851,8.365,0.683,4.593,0.36,30
16,0.44,0.0852,8.566,0.644,4.655,0.293,30
17,0.422,0.0554,8.745,0.368,4.601,0.39,30
18,0.4027,0.0696,8.933,0.583,4.645,0.375,30
19,0.384,0.0692,9.104,0.591,4.778,0.362,30
