round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,13409.296,437.055,4.507,0.104,30
1,0.954,0.0302,13546.385,333.246,4.501,0.09,30
2,0.8967,0.0544,13651.531,366.242,4.499,0.092,30
3,0.8487,0.0451,13855.384,329.632,4.497,0.078,30
4,0.8147,0.0498,13811.572,412.948,4.49,0.112,30
5,0.78,0.0681,13849.79,343.466,4.471,0.105,30
6,0.7267,0.0562,13941.135,445.91,4.498,0.11,30
7,0.704,0.0559,13953.361,408.077,4.478,0.119,30
8,0.6667,0.0586,14092.053,338.537,4.469,0.11,30
9,0.6313,0.0666,14276.763,278.622,4.532,0.087,30
10,0.612,0.0596,14159.101,272.308,4.488,0.105,30
11,0.57,0.0625,14124.788,286.52,4.446,0.116,30
12,0.5473,0.0663,14251.073,337.948,4.458,0.129,30
13,0.51,0.0632,14233.789,334.313,4.454,0.15,30
14,0.4993,0.0816,14301.577,349.449,4.473,0.126,30
15,0.4753,0.0676,14207.839,296.335,4.424,0.125,30
16,0.456,0.0636,14355.097,293.617,4.477,0.136,30
17,0.4,0.0687,14420.661,277.705,4.477,0.161,30
18,0.3887,0.075,14451.561,246.513,4.446,0.137,30
19,0.3893,0.0757,14462.007,296.813,4.463,0.163,30
