round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,3000,3000,50,50,1.0,6.12,6.12
1,15000,3000,2382,50,40,0.8,7.8,6.125
2,15000,3000,1906,50,33,0.66,8.58,6.212121212121212
3,15000,3000,1545,50,23,0.46,10.06,6.391304347826087
4,15000,3000,1244,50,20,0.4,10.8,6.7
5,15000,3000,999,50,21,0.42,10.82,6.857142857142857
6,15000,3000,791,50,13,0.26,12.86,7.538461538461538
7,15000,3000,639,50,12,0.24,13.38,7.75
8,15000,3000,529,50,4,0.08,15.24,8.0
9,15000,3000,386,50,3,0.06,16.46,11.0
10,15000,3000,347,50,4,0.08,17.58,14.75
11,15000,3000,261,50,2,0.04,17.5,6.5
12,15000,3000,204,50,0,0.0,17.0,0.0
13,15000,3000,141,50,0,0.0,14.9,0.0
14,15000,3000,137,50,0,0.0,13.84,0.0
15,15000,3000,86,50,0,0.0,15.24,0.0
16,15000,3000,74,50,0,0.0,15.44,0.0
17,15000,3000,57,50,0,0.0,15.94,0.0
18,15000,3000,52,50,0,0.0,16.2,0.0
19,15000,3000,41,50,0,0.0,14.4,0.0
