round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,50,48,50,50,1.0,905.72,3.32
1,1000,50,48,50,46,0.92,903.54,3.3043478260869565
2,1000,50,40,50,45,0.9,911.52,3.4
3,1000,50,46,50,45,0.9,890.54,3.1777777777777776
4,1000,50,49,50,46,0.92,933.62,3.391304347826087
5,1000,50,34,50,40,0.8,910.3,3.075
6,1000,50,32,50,38,0.76,877.92,3.1578947368421053
7,1000,50,34,50,30,0.6,972.14,3.3666666666666667
8,1000,50,33,50,31,0.62,937.66,3.3870967741935485
9,1000,50,25,50,35,0.7,943.1,3.3714285714285714
10,1000,50,27,50,32,0.64,932.82,3.1875
11,1000,50,35,50,29,0.58,932.24,3.1724137931034484
12,1000,50,37,50,24,0.48,961.26,3.2916666666666665
13,1000,50,28,50,21,0.42,943.38,3.1904761904761907
14,1000,50,25,50,24,0.48,956.96,3.2083333333333335
15,1000,50,18,50,24,0.48,948.78,3.0
16,1000,50,20,50,20,0.4,956.58,3.15
17,1000,50,21,50,18,0.36,951.38,3.2222222222222223
18,1000,50,31,50,18,0.36,939.86,3.0555555555555554
19,1000,50,17,50,18,0.36,972.04,3.3333333333333335
