round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,4443.752,139.383,3.98,0.093,30
1,0.798,0.0629,4650.559,120.579,3.96,0.089,30
2,0.6407,0.0607,4730.717,112.434,3.914,0.118,30
3,0.52,0.0639,4783.975,95.074,3.869,0.121,30
4,0.4247,0.0621,4811.505,108.523,3.854,0.16,30
5,0.3413,0.0596,4853.292,86.364,3.846,0.151,30
6,0.2693,0.0739,4893.299,58.701,3.836,0.171,30
7,0.216,0.0622,4906.675,61.883,3.855,0.196,30
8,0.158,0.0391,4930.237,62.089,3.81,0.286,30
9,0.1373,0.0538,4925.374,57.834,3.792,0.225,30
10,0.1033,0.0368,4966.551,30.261,3.836,0.242,30
11,0.086,0.0357,4950.229,42.458,3.65,0.763,30
12,0.0773,0.0314,4962.291,50.666,3.804,0.341,30
13,0.0553,0.0355,4978.912,29.813,3.606,1.021,30
14,0.0427,0.0239,4983.503,23.17,3.599,1.124,30
15,0.0347,0.0234,4983.46,30.163,3.097,1.468,30
16,0.0347,0.0328,4978.676,33.468,2.527,1.738,30
17,0.0333,0.0308,4983.836,27.765,2.756,1.754,30
18,0.018,0.0161,4996.519,7.504,2.6,2.049,30
19,0.0127,0.017,4995.795,13.697,1.7,2.032,30
