round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,5.141,0.249,5.141,0.249,30
1,0.9573,0.0256,5.464,0.267,5.151,0.26,30
2,0.896,0.0391,5.984,0.372,5.235,0.222,30
3,0.8607,0.0552,6.241,0.46,5.25,0.231,30
4,0.8087,0.0607,6.541,0.487,5.161,0.222,30
5,0.7787,0.0599,6.898,0.478,5.31,0.26,30
6,0.7327,0.0545,7.235,0.393,5.305,0.295,30
7,0.6853,0.0568,7.601,0.494,5.375,0.312,30
8,0.6593,0.0742,7.771,0.559,5.267,0.259,30
9,0.6327,0.0539,7.997,0.433,5.359,0.272,30
10,0.612,0.0696,8.166,0.515,5.41,0.215,30
11,0.576,0.0569,8.407,0.439,5.332,0.292,30
12,0.52,0.0563,8.864,0.505,5.476,0.252,30
13,0.5093,0.0789,8.972,0.529,5.53,0.412,30
14,0.476,0.0854,9.329,0.661,5.575,0.33,30
15,0.47,0.0672,9.345,0.537,5.641,0.34,30
16,0.4353,0.0614,9.688,0.452,5.665,0.455,30
17,0.408,0.069,9.923,0.508,5.72,0.41,30
18,0.4147,0.0641,9.893,0.565,5.812,0.374,30
19,0.3753,0.0653,10.301,0.516,5.823,0.444,30
