round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,1500,1470,50,50,1.0,13724.86,4.62
1,15000,1500,1361,50,44,0.88,13918.7,4.545454545454546
2,15000,1500,1280,50,35,0.7,13411.48,4.314285714285714
3,15000,1500,1115,50,36,0.72,13570.06,4.277777777777778
4,15000,1500,948,50,29,0.58,14521.12,4.689655172413793
5,15000,1500,822,50,26,0.52,14653.9,4.5
6,15000,1500,772,50,26,0.52,14008.52,4.423076923076923
7,15000,1500,690,50,20,0.4,14596.24,4.45
8,15000,1500,650,50,23,0.46,14240.24,4.217391304347826
9,15000,1500,586,50,20,0.4,14715.36,4.5
10,15000,1500,523,50,15,0.3,14643.66,4.533333333333333
11,15000,1500,480,50,22,0.44,14348.0,4.5
12,15000,1500,369,50,17,0.34,14842.62,4.529411764705882
13,15000,1500,361,50,12,0.24,14594.5,4.083333333333333
14,15000,1500,325,50,11,0.22,14132.0,4.0
15,15000,1500,307,50,9,0.18,14815.78,4.333333333333333
16,15000,1500,253,50,12,0.24,14781.46,4.166666666666667
17,15000,1500,301,50,6,0.12,14959.46,4.333333333333333
18,15000,1500,237,50,4,0.08,14956.38,4.75
19,15000,1500,197,50,8,0.16,14673.78,4.25
