round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,1000,200,182,50,50,1.0,905.72,3.32
1,1000,200,173,50,39,0.78,894.96,3.1794871794871793
2,1000,200,123,50,33,0.66,965.54,3.212121212121212
3,1000,200,93,50,29,0.58,932.0,3.206896551724138
4,1000,200,93,50,18,0.36,946.44,3.1666666666666665
5,1000,200,69,50,21,0.42,951.82,3.0476190476190474
6,1000,200,51,50,9,0.18,978.98,3.2222222222222223
7,1000,200,47,50,13,0.26,973.3,3.0
8,1000,200,37,50,8,0.16,998.5,3.5
9,1000,200,32,50,6,0.12,997.08,3.1666666666666665
10,1000,200,21,50,4,0.08,986.9,3.0
11,1000,200,20,50,2,0.04,998.72,3.0
12,1000,200,10,50,3,0.06,984.96,3.0
13,1000,200,7,50,1,0.02,996.86,3.0
14,1000,200,12,50,2,0.04,999.0,3.5
15,1000,200,5,50,1,0.02,998.92,3.0
16,1000,200,5,50,2,0.04,981.3,2.5
17,1000,200,6,50,1,0.02,998.98,3.0
18,1000,200,4,50,0,0.0,999.0,0.0
19,1000,200,2,50,1,0.02,994.58,3.0
