round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,13409.296,437.055,4.507,0.104,30
1,0.8953,0.0519,13624.629,463.853,4.479,0.111,30
2,0.792,0.0537,13839.14,419.752,4.454,0.122,30
3,0.7393,0.0669,13953.24,419.991,4.446,0.116,30
4,0.6727,0.0734,14012.023,370.751,4.448,0.111,30
5,0.594,0.0724,14191.6,329.934,4.461,0.095,30
6,0.5307,0.0651,14225.539,316.935,4.409,0.133,30
7,0.466,0.0626,14300.373,316.726,4.403,0.13,30
8,0.426,0.065,14403.621,293.304,4.419,0.13,30
9,0.38,0.0635,14524.281,226.762,4.427,0.092,30
10,0.3513,0.0614,14561.465,198.606,4.467,0.121,30
11,0.3167,0.0601,14555.505,192.987,4.419,0.181,30
12,0.2773,0.0684,14653.349,281.817,4.391,0.231,30
13,0.2487,0.075,14652.742,223.916,4.355,0.251,30
14,0.208,0.0503,14731.036,223.682,4.426,0.234,30
15,0.2213,0.0683,14701.243,171.964,4.36,0.222,30
16,0.1807,0.0521,14817.703,160.985,4.425,0.222,30
17,0.1727,0.0471,14721.921,256.278,4.379,0.249,30
18,0.1473,0.0444,14796.657,198.33,4.437,0.231,30
19,0.144,0.0607,14788.214,211.216,4.393,0.297,30
