round,success_rate_mean,success_rate_std,avg_messages_mean,avg_messages_std,avg_hops_mean,avg_hops_std,n_reps
0,1.0,0.0,912.161,20.448,3.319,0.083,30
1,0.8113,0.0605,920.921,22.512,3.214,0.079,30
2,0.662,0.0638,930.074,25.482,3.179,0.088,30
3,0.52,0.0759,950.249,18.536,3.195,0.135,30
4,0.414,0.0695,962.785,20.809,3.166,0.167,30
5,0.336,0.0776,969.337,16.747,3.17,0.151,30
6,0.2607,0.0694,975.657,12.341,3.162,0.194,30
7,0.2453,0.0666,973.107,15.668,3.089,0.202,30
8,0.166,0.0635,987.33,10.154,3.222,0.242,30
9,0.1373,0.0527,986.189,12.497,3.145,0.213,30
10,0.112,0.0402,986.643,11.692,3.099,0.257,30
11,0.084,0.045,991.037,7.61,3.049,0.412,30
12,0.0533,0.0303,994.671,6.183,2.939,0.871,30
13,0.052,0.0399,993.73,6.362,2.661,1.145,30
14,0.0353,0.0286,995.329,6.489,2.378,1.44,30
15,0.0307,0.0233,996.813,4.029,2.517,1.483,30
16,0.0207,0.022,996.983,4.14,1.978,1.471,30
17,0.024,0.0185,996.369,4.843,2.267,1.524,30
18,0.0173,0.018,996.984,3.883,1.722,1.516,30
19,0.012,0.0171,996.144,6.763,1.194,1.446,30
