round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,3000,2984,50,50,1.0,13724.86,4.62
1,15000,3000,2455,50,38,0.76,13937.1,4.394736842105263
2,15000,3000,1933,50,29,0.58,13749.12,4.172413793103448
3,15000,3000,1526,50,20,0.4,14578.34,4.45
4,15000,3000,1279,50,22,0.44,14615.72,4.5
5,15000,3000,982,50,13,0.26,14082.4,4.076923076923077
6,15000,3000,731,50,11,0.22,14775.22,4.090909090909091
7,15000,3000,633,50,15,0.3,14945.4,4.533333333333333
8,15000,3000,490,50,10,0.2,14833.36,4.4
9,15000,3000,395,50,8,0.16,14789.54,4.25
10,15000,3000,318,50,6,0.12,14462.78,3.6666666666666665
11,15000,3000,218,50,4,0.08,14988.7,4.25
12,15000,3000,208,50,3,0.06,14844.8,4.0
13,15000,3000,156,50,1,0.02,14981.92,4.0
14,15000,3000,132,50,3,0.06,14857.06,4.0
15,15000,3000,138,50,1,0.02,14989.2,4.0
16,15000,3000,72,50,3,0.06,14776.72,4.0
17,15000,3000,62,50,2,0.04,14994.8,4.5
18,15000,3000,55,50,1,0.02,14999.0,5.0
19,15000,3000,40,50,2,0.04,14952.04,4.5
