round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,500,500,50,50,1.0,4.84,4.84
1,5000,500,444,50,43,0.86,6.18,5.069767441860465
2,5000,500,404,50,43,0.86,6.36,5.325581395348837
3,5000,500,346,50,32,0.64,7.66,5.1875
4,5000,500,333,50,32,0.64,7.9,5.46875
5,5000,500,315,50,32,0.64,7.7,5.15625
6,5000,500,268,50,31,0.62,8.58,5.903225806451613
7,5000,500,237,50,25,0.5,9.16,5.68
8,5000,500,207,50,24,0.48,9.2,5.333333333333333
9,5000,500,199,50,17,0.34,10.4,5.529411764705882
10,5000,500,194,50,16,0.32,10.36,5.25
11,5000,500,170,50,13,0.26,11.38,6.230769230769231
12,5000,500,135,50,15,0.3,10.74,4.933333333333334
13,5000,500,128,50,17,0.34,11.6,7.0
14,5000,500,109,50,13,0.26,11.8,6.615384615384615
15,5000,500,93,50,11,0.22,13.1,7.636363636363637
16,5000,500,88,50,12,0.24,12.92,7.166666666666667
17,5000,500,84,50,9,0.18,14.26,7.333333333333333
18,5000,500,69,50,8,0.16,14.28,9.5
19,5000,500,86,50,5,0.1,14.82,6.8
