round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,5000,250,250,50,50,1.0,4.84,4.84
1,5000,250,238,50,46,0.92,5.56,4.978260869565218
2,5000,250,225,50,44,0.88,6.54,5.704545454545454
3,5000,250,211,50,44,0.88,5.8,4.863636363636363
4,5000,250,200,50,38,0.76,6.68,4.947368421052632
5,5000,250,179,50,39,0.78,7.1,5.717948717948718
6,5000,250,179,50,40,0.8,7.08,5.75
7,5000,250,176,50,34,0.68,7.34,5.0588235294117645
8,5000,250,165,50,36,0.72,7.38,5.388888888888889
9,5000,250,166,50,35,0.7,7.98,5.714285714285714
10,5000,250,144,50,31,0.62,8.04,5.387096774193548
11,5000,250,151,50,30,0.6,8.48,5.433333333333334
12,5000,250,144,50,27,0.54,8.8,5.333333333333333
13,5000,250,118,50,22,0.44,9.3,5.681818181818182
14,5000,250,121,50,24,0.48,9.54,5.833333333333333
15,5000,250,109,50,25,0.5,8.88,5.4
16,5000,250,109,50,15,0.3,10.6,5.466666666666667
17,5000,250,99,50,17,0.34,10.52,6.176470588235294
18,5000,250,111,50,21,0.42,10.02,6.285714285714286
19,5000,250,99,50,18,0.36,9.98,5.388888888888889
