round,nodes_in_network,nodes_churned,resources_lost,total_searches,successful_searches,success_rate,avg_messages,avg_hops
0,15000,1500,1500,50,50,1.0,6.12,6.12
1,15000,1500,1367,50,43,0.86,7.2,6.232558139534884
2,15000,1500,1211,50,42,0.84,7.6,6.428571428571429
3,15000,1500,1058,50,41,0.82,7.36,5.951219512195122
4,15000,1500,995,50,36,0.72,8.58,6.333333333333333
5,15000,1500,856,50,24,0.48,9.8,5.75
6,15000,1500,810,50,31,0.62,9.1,6.193548387096774
7,15000,1500,711,50,26,0.52,9.56,6.653846153846154
8,15000,1500,659,50,23,0.46,10.38,6.6521739130434785
9,15000,1500,618,50,20,0.4,10.58,6.5
10,15000,1500,550,50,20,0.4,11.14,6.8
11,15000,1500,467,50,16,0.32,11.7,6.875
12,15000,1500,388,50,15,0.3,12.18,7.666666666666667
13,15000,1500,390,50,11,0.22,13.02,6.636363636363637
14,15000,1500,351,50,11,0.22,12.62,6.181818181818182
15,15000,1500,327,50,5,0.1,14.2,6.8
16,15000,1500,271,50,7,0.14,15.0,7.857142857142857
17,15000,1500,268,50,8,0.16,15.0,9.25
18,15000,1500,247,50,8,0.16,14.86,8.875
19,15000,1500,186,50,2,0.04,16.74,11.0
